Holder Address,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD LP Balance,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10 LP Balance,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D LP Balance
0x0ea4e868cb049bd560335c3775dd330a18fd1428,0,13636769.16419595293700695,0
0x30ec4046bb76b5570ea73597c025287d5b686c94,0,299660.847617347491905093,0
0xb1b8c70f080cc663b5a1a9d9d36760cf17e019b9,0,967886.979841521475464106,0
0x499e194d7a106ac1305ed4f96c6ceaaff650462d,0,505010.65804119931999594,0
0xf65e814c5150738c9b0a10df5328322a2b7af95a,0,145825.639678433683002368,0
0xc37b23fb41ca091f36422c12c4f08dcd8929d8bc,916.698509515660589386,14976.896913728425715817,0
0x668c6f75486d6882a1aacf7bf03eee605c96fdad,0,1418467.437336196191608906,0
0x654f26dd1c9ee282c037e2ef9b902aff6684d5ae,89621.252393944538198411,223360.791430510842474177,191242.568649265362182632
0xca11c106fc3911019edd2b509add0d8bd30af8f4,0,276293.642855158366728574,0
0x121d6990e624cfa09e3b785a2d13935941b29bfc,182198.128483702603261918,0,0
0xa49dcfd59f39dfada7eb11f60f173187b5401a06,0,2458.815353336427506292,0
0x4892d741c4a14334c55215347b5df846128cf7dd,0,0,8101.98394648821613373
0x50918c0d6e3010a6772fc027e6d2ad434079ee0c,262146.698106760275550187,377471.684517252549994737,0
0xde78a646c581f4b253ab49859590fcd427db2aab,0,353945.780111194821074605,0
0xb1e302b3a3b0de2173c1a1c2de19d2868b7c446d,63448.537516201067774091,333969.699504535645246506,0
0x817eef955fbec8dc78fe0d3dfb236701cb3a0e34,4147.627324493902960967,0,2803.85401759160004076
0x26ca66a755344c36214c227c3033861d5268506d,764163.900140788173303008,3558467.61102365143597126,2067393.384121052920818329
0xf78f6eb3ecb3097df3f24bfd7b7ca442ea57e859,65197.009564099804265425,223955.576407954416936263,172065.911390336143085733
0xef38aa3b6bbd6347c12a35d6b701163e95478b0b,33831.760475631876033731,35335.823047294921707362,121448.719562788173789158
