Holder Address,Total Weight,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D
0x7798ba9512b5a684c12e31518923ea4221a41fb9,38145812.504845545,4601068.943242543,32544744.561603002,999999
0xaec348bad0e323ae6f196ecdac28fc5de227d78e,35211184.12325709,0,35209912.61836723,1271.5048898578389
0x767e095f6549050b4e9a3bcce18aadd28bef486f,23599971,3750000,0,19849971
0x626358e33076453160a58ebd03cbaef3449f1964,23257370.341854412,4169999.8015793357,3958603.82299623,15128766.717278846
0xea65d45e5999a2bfe01a23df5a40fa5a407db09a,20164040.10229636,0,0,20164040.10229636
0x92092fbca11e8f28d459e78f78e27f013b7798c5,20000000.876953,0.8769529999990482,0,20000000
0xd9546a960a2f2feb20bab7c575e594dffa84829e,20000000,0,0,20000000
0x348a988bf8211ea395164ae504ca4101943fbee1,18303424.787677035,0,11295054.47624542,7008370.311431615
0x8d73a36d78e2ae4a437053c9ce3be70d483ab74d,17690838.321317162,0,17690838.321317162,0
0xfbc3f33af3dd99d709631791741eea65eddbfa50,17081136.32746866,0,17081136.32746866,0
0xceebc4cf5421984b78c0df39cdd29493cf99d3e3,16819608.477305662,8008968.859262316,8810639.618043346,0
0x9a241d67389ca97ee4a3c7c177382b6deabd6a90,16124596.673358869,0,0,16124596.673358869
0xa4e93279ddf89d8dcc200956fbba176eac7bd3a3,16107809.636934815,0,3439887.796548731,12667921.840386083
0x55d7809b8f750e48c7141a86395e299af56f739c,13750000,3750000,5000000,5000000
0xbb9a2876bfe26ac04d2901b0655a0ac8ac4182a0,13050000,0,0,13050000
0x8bb0eb4613c709402aefab2687f9380c5b8c4e49,11180692.548872497,2750000,8430692.548872497,0
0xf81c87fb76f3acf458ebd29df60c92f4b7ce8db3,10999999.999999998,0,0,10999999.999999998
0xafca747b067c40ae0dda3f170ae971a2cbf4d05c,10516810.926198851,620625.8389293212,5623422.402194142,4272762.685075386
0x7bf6b08c66f0b576ed6e338896e8ff06a5674dfe,10499999.999999998,8499999.999999998,1999999.9999999998,0
0x70a0493c265a898032ecfa65fc1072f6835d44fd,10042738.217116086,3804383.5235156356,5245201.8439331055,993152.8496673444
0x975984b26c58464b198917fec419d937475363b3,9635938.92159598,9635938.92159598,0,0
0xdec3035cf641c64876770e1fddd003237a6a95a4,9369713.238503247,0,2057962.939738914,7311750.298764333
0x7bf851f58dddbaf5a2d0bb0098741faaa5392689,9353785.580558792,0,6271697.901347939,3082087.6792108524
0xee899b1ff2d0396a93734bca4241695de5bcdaf6,9070649.324359238,3750000,5000000,320649.3243592381
0x336b2ae0b25f2553897480620dc3e5cec2211ca3,8834656.705945417,0,8834656.705945417,0
0x78ec5b149f183541ff6de4037f9146da7293e3e8,8750000,3750000,5000000,0
0x4a698eccceb505b55ba116358cb22a2535f7e7f0,8740620.941133833,8740620.941133833,0,0
0x8bab3ea3df191475918faa5aa541f8a52d1744cb,8470358.05713334,0,4220478.338502078,4249879.718631262
0x3fbe2fd902d278e3f05575149505f998445ea4b0,8283735.115427357,8283735.115427357,0,0
0xdf23bf18ca70ead6da8820e5b03ae29d98fbf61a,8017607.881813068,588688.9719492769,2404947.7122764657,5023971.197587325
0x2020f42e976edb34703afff67ba14b0ac106a2ee,7851637.115945803,0,4571137.115945803,3280500
0xad155c939d8d745dd488567b18369c13cdd841f4,7323644.724415629,0,7323644.724415629,0
0xdee951ef7f6ad50a5185607172d4067b89f42705,6999993.755799663,0,6999993.755799663,0
0x0253be3db2f489f989c9360777237b14809e44fc,6529614.792556598,0,6529614.792556598,0
0x00000b7a7a859f1b7ab55579fd4e7b0b22064f3d,6276415.2256943965,0,0,6276415.2256943965
0xd7f4e01b66bedde8aa85300130cc6c7b9823942c,6178891.9977382645,396249.3991919388,3174702.1020819107,2607940.496464415
0x4be48570a6c9e6966c191f6135272cb289e72215,6000733.441830797,2000640.0800858848,0,4000093.361744913
0x6db609e8670af9abdd0fe18ba7b9a81424dbd066,5887669.72,0,5887669.72,0
0x84cd67d2bcb28694b7b02ccb9736bc9547181588,5846874.336655805,3700588.418204153,2146285.9184516515,0
0x221268f32daa6b36cac59343220f26da444e26f7,5696864.298370317,0,0,5696864.298370317
0xf0e5e8549e69ac7602b18cbc68fa819b06f0b58d,5670804.707348173,5670804.707348173,0,0
0x4b6d425fae5ef632fc6cea366ff2f7b0d5110374,5000000,0,5000000,0
0xd972c984f693aee122a3da24241a1d21bdbe6b3d,5000000,0,5000000,0
0xea6c1c1141bc468944e0812d8cc42d34a8d77998,5000000,0,0,5000000
0x35f68fac0ceca27335fbab87c9c526bfe9a31276,4895680.584335863,0,4895680.584335863,1.7462298274040222e-10
0xfbc3692deeb263f39c3a30d6d0c0496d97686011,4891561.034473031,0,0,4891561.034473031
0x0bab4f59c0bab92552cb3efcc7f8d29c16445ad9,4543946.084535472,4543946.084535472,0,0
0x491f7f30f28b2524b53b1c628447743040b40806,3750000,3750000,0,0
0x02c939f8c649108ab50418a4451730490bff2725,3750000,3750000,0,0
0xb44b8f1f521d4b0f6643481eebd43e4583232c76,3697244.0786594036,2700000,997244.0786594036,0
0x9f14f4ca28320499951270cd2927a6d2d2c0c24c,3540633.293055248,3540633.293055248,0,0
0xd3048a8776d6fba57a0ec51e026ace70cd7a14eb,3459122.193768706,769150.0419438386,2689972.1518248674,0
0x92e6f7ad96f939b3cccb416dc32d621e73efd9c0,3335293.937712245,3335293.937712245,0,0
0xb5a2e48f3b6b61d1d59877c8046e7c2c59595e4e,3259670.3015796337,646856.925498213,1325093.5047569745,1287719.8713244458
0x245884cdeaf149890a0deb08b4c6fd1be25b9421,3137752.326576694,3137752.326576694,0,0
0x8c7661cbbe32ab65a3af9026076d67973eb994d4,3054053.2181536458,3054053.2181536458,0,0
0xe1da9e3ea9efc074ebffd4d2bed209b370705188,3000000.0000000005,0,3000000.0000000005,0
0x1fe5297fe9aef0cdfdb2f7e78b1c170daf622e20,2784803.3847314077,0,0,2784803.3847314077
0xe0b450be5911317119256bb95508454db42d6bd9,2783299.0675512943,2783299.0675512943,0,0
0x775dcba2eb7c2d4e1524831549762583afabeff8,2760948.031874735,2760948.031874735,0,0
0x843573f8809eb7a825ea66f9448dd34d7434c858,2635236.1439540447,2635236.1439540447,0,0
0x7a55aae410ff412f39b023e9b5e2e5dbc9a58f68,2602312.202795767,1482168.908963304,1120143.2938324634,0
0x0ca6cadb6a8ca4199788b9a060c3285fe7b897fd,2535988.8097085212,2535988.8097085212,0,0
0x3b8d785c131ebda6118bbaca2066b0243a6728e8,2470000,2470000,0,0
0x8a08e3ce6ced24d376a13c544e45d4dda02fafea,2363047.4868084444,700000.0006272994,258178.5829936109,1404868.9031875338
0x9f1a069e0a5fd61433ec40a5308d5557daa9c1d4,2319163.9308712333,364518.92568848724,0.6369572419207543,1954644.368225504
0x91882819ad6deabe8448d612383dc9390eb29562,1915390.0180668898,1915390.0180668898,0,0
0xeac0101aac8e7603226f0f30b60ef1a008034639,1826180.7108115454,0,0,1826180.7108115454
0x311aac4d6a2ca079169c6da99aba5f853c6ecaa0,1724192.7685610047,900000.5737496549,824192.1948113497,0
0x8e1d8647a723883571c83f3a64d536ca8ea5bb15,1637895.2750201123,0,1494322.9106065594,143572.3644135528
0xe86531c69eb9301819d907601dbb4c133e008f19,1630933.8764615445,0,1630933.8764615445,0
0x20b5b89d71e8114795c80ba9f9158296e5ccd095,1499999.9999999995,0,1499999.9999999995,0
0xc7d8cf1762c743f18b128f4147056a3effea8884,1264331.0659011046,1264331.0659011046,0,0
0x9aae2f3145739065c6c67126c84882c929a69718,1241066.6317125128,0.07865943410433829,2.3283064365386963e-10,1241066.5530530785
0xea5578ee6f88b8a063d20fb8c45ba7328fdc5860,1203838.7850151225,0,0,1203838.7850151225
0xdd6b0e7125c1f37ebfcbcb3ce8f712b8b922d09e,1178700.3559517802,1178700.3559517802,0,0
0x49aef3924a006cb6eaeaf2c2dc627fe1026f86df,1016666.9975856339,0,1016666.9975856339,0
0x8d204109f181fdc263b5317f7e87050a05bd6fef,865756.8673989322,116617.76985245345,415840.1960553224,333298.9014911563
0xe751d56c31dc1b16595a2cdfc94388687e26a674,838159.0689466042,838159.0689466042,0,0
0x1eb50690034288cfed700d757593b5bb27c965f4,820263.9000005561,0,820263.9000005561,0
0x8d82e06a97a72efa3bbc950168c5ed37313306f5,792086.8164059999,167086.816406,0,625000
0x8c601ec488004c7b40c30ac0115cbf01e8be41a7,762065.7658502547,762065.7658502547,0,0
0xd028b1f8a2e842a1e403d29e7a5f6dab368e3733,716442.8771481272,1.4551915228366852e-11,247130.43718744093,469312.43996068626
0x994da621ca0401eb4d6310bcb8fc86e9ffc239a1,704265.2259710979,704265.2259710979,0,0
0x1e07c233341012327ba02455a1dedc45f2b499d6,627932.7475780207,627932.7475780207,0,0
0x6d0f78edd141e68199d31a81199aa71bd34f04d8,612681.9040704296,0,0,612681.9040704296
0x9945bbb5a4e826be16364235914900b7154ed97b,525209.6035128152,0,525209.6035128152,0
0xd986f05cac824a7ce2fd6ab312a75f4836d7e237,494428.9591033219,0,0,494428.9591033219
0xffb326e46c4d171ea4c613c84fe35b2fee8112a5,395574.3798455147,0.2125124080776004,395574.1673331066,0
0x052a3c21baa95f664397367856ff90d7296c8dc9,374723.65056768485,0,374723.65056768485,0
0x970669124ce6381386aaea27aff4a37fc579b992,332756.6607424071,0,332756.6607424071,0
0x975b9cb13dc72b74a9f6b7e7241c8b8f2ca1e309,320149.41979500576,0,0,320149.41979500576
0x6b72e19f4a8cb21ac6e9cb8ce5e4b6d86993683a,272000.03942453064,22387.86992799325,171592.28334110597,78019.8861554314
0x42ad5488ea29641688eec09683cc0b7db5137941,170116.8624760727,0,0,170116.8624760727
0xbc3e23401bd47e83db9dcd9d5dfe41283bd154c1,126296.01166269045,0,126296.01166269045,0
0x66b80081d4ee525e8b2158923998d3a3be7e4127,110893.51320940265,0,0,110893.51320940265
0x85ac9b5a86b3c86603ea91c91ec27181d82ba048,106403.8367381512,0,106403.8367381512,0
0xa6a4c0d99b4052c589eea0a6a56cb8b4f7037174,94113.12835729572,94113.12835729572,0,0
0x34e3f2204d443f531ef95ee7899b9afe50de72bd,58733.64468339716,14283.756421567534,0,44449.88826182962
0xefd0fc8e6be93ece860c9e6f0b9dfd2869ffe77d,38165.77046281329,0,38165.77046281329,0
