Holder Address,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD Token Balance,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD LP Balance,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10 Token Balance,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10 LP Balance,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D Token Balance,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D LP Balance
0xdd4021bc586ab5a47b500e33e8f16686b3ec60d7,3750000,0,0,0,0,0
0x04d39a3c66e5c3d1507400e2623b0b4ee5ded5ad,3750000,0,6379607.366620025597512722,0,0,0
0x90fe6711e3c6d9e505f8baeab3a1e9af8cb1bf21,3750000,0,3562500,0,0,0
0xd33cce1423c60216590564f50e3a810a05669afb,3750000,0,0,0,0,0
0x2fd1d8eaa6ed1b424c2d03ce5eadde9f301c3235,1000000,0,0.000000000058207661,962272.725517603219486773,2923.052305436595815991,2599829.228976630605757236
0x654f26dd1c9ee282c037e2ef9b902aff6684d5ae,13197.893273204890647321,89621.252393944538198411,35311.11289525492611574,223360.791430510842474177,22382.94803050627160701,191242.568649265362182632
0xf3406636e107652e4c87b4704ce7b3a81a683750,249999.622193531133234501,0,1000000.036612958065234125,0,0,0
0xf700f345b925557a529c2e7d2ec16ba07fa6bf22,0.000000000552972779,0,0,0,0,0
0x0ca6cadb6a8ca4199788b9a060c3285fe7b897fd,2535988.809708521235734224,342362.124115523649379611,0,0,0,0
0x18ccc241cce98a67564e367ebc1f1f0e692e3188,1500000,0,0,0,0,0
0x0920c2148cacc810fe7b16b04055ca2e31950d11,3304000,0,0,0,0,0
0xd7fb7dd9f36f80ba1bbf5e81796c629f045d9f0f,36693.909455813321983442,0,54415.006149563923827372,0,100000.244080191827379167,0
0x467a8960e4d1604b199c00bd6915cb965fe8bd7d,3750000,0,0,0,0,0
0x92092fbca11e8f28d459e78f78e27f013b7798c5,0.876952999999048188,0,0,0,20000000,0
0x1d53ee199a2de2b88ee3d6f31a207099aadbc90b,390000,0,284699.468332410615403205,0,20000000,0
0x6fd760fcfc39853e49bcdb2fa4151071fa6a880c,421641.923436999903060496,0,0,0,0,0
0x8d4e8f071b27b8e201a713858162dc6cf7272367,3750000,0,0,0,0,0
0xeae5886c57fad76d569381b3812cd31348b7c3d0,3750000,0,0,0,0,0
0xedb82ece9fa6486dac97896d81931de2ae913efb,10670.323392428010265576,0,0,0,0,0
0x0ace357dc571c8be20940e2c5a6dceb3e4e90a11,3750000,0,0,0,0,0
0x633823bf1c3dcdbc170207590b7bad0f07def6ae,226891.489458920579636469,0,0,0,219034.518282476812601089,0
0xe7420f4b26a565186ccdf5c3d356c62b127c81ef,2000000.000000000465661287,107501.833030046152998693,134456.918377785012125969,0,521542.397615437570493668,0
0x4c1595131e717487f28743923a7a3a6fab17e54a,1730929.5,0,0,0,0,0
0x183fa0b74efb6028bd62be9cd6d1df49e07b0247,450000,0,0,0,0,0
0x845b1e9fa75cdef511678c60f1be2e8ac8bcdb03,2000000.182120863348245621,0,108752.227492630772758275,0,675826.040032676537521183,0
0xcbfddcbffc0479289e5147ff4dc1d3b439321d92,175986.531790764100151137,0,482286.579557277844287455,0,0,0
0x8602c264cb3330fd134337393912c77d57be15d7,490876.472038053325377405,0,0,0,0,0
0xb893ae8a1824604f6df4dfde52e2754921ba1a73,0,0,0,0,5000000,0
0x27b0b4033b6bdcdf12c8d4b86969e3aee53ca107,301830.125513545935973525,0,502482.369390396284870803,0,292402.08666513895150274,0
0xb97e4307f787e8c9c41f4e9a525a19378a00d3dd,0.658062734710702202,0,0,0,0,0
0x50918c0d6e3010a6772fc027e6d2ad434079ee0c,1266581.64137061801739037,262146.698106760275550187,1488304.016686753137037158,377471.684517252549994737,309803.280469692952465266,0
0x47311301ee2910aaf814bcbfa0029f63064c6e76,150000,0,0,0,0.480594401131384075,0
0x767e095f6549050b4e9a3bcce18aadd28bef486f,3750000,0,0,0,19849971,0
0x25be2281deb6b7e54b90e2e1e0e08c5f91a9d9b7,260000.296464342332910746,0,649999.999999999767169356,0,202090.496391516673611477,0
