Holder Address,Total Weight,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD Token Balance,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD LP Balance,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10 Token Balance,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10 LP Balance,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D Token Balance,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D LP Balance
0xaec348bad0e323ae6f196ecdac28fc5de227d78e,41413873.20918920636177063,0,0,35209912.618367232382297516,3437836.75345134362578392,0.00000000002910383,1732130.405566967790946364
0x7798ba9512b5a684c12e31518923ea4221a41fb9,38551951.266635134816169739,4601068.943242543376982212,338448.968157993222121149,32544744.56160300225019455,0,999999,0
0xf0f94428eda4c6a7c4b078c397f6d695fb0424a6,33041512.049437467008829117,0,0,0,0,0,27534593.374531224370002747
0x1d53ee199a2de2b88ee3d6f31a207099aadbc90b,20674699.468332409858703613,390000,0,284699.468332410615403205,0,20000000,0
0xea65d45e5999a2bfe01a23df5a40fa5a407db09a,20164040.102296359837055206,0,0,0,0,20164040.102296359837055206,0
0x92092fbca11e8f28d459e78f78e27f013b7798c5,20000000.876952998340129852,0.876952999999048188,0,0,0,20000000,0
0xd9546a960a2f2feb20bab7c575e594dffa84829e,20000000,0,0,0,0,20000000,0
0xfc4b4898a1678ded3046b64ea9c7dca81aee0b51,20000000,0,0,0,0,20000000,0
0x344b76917b4a31a1ed83f8b4e43ecd7587a7a924,20000000,0,0,0,0,20000000,0
0x348a988bf8211ea395164ae504ca4101943fbee1,18303424.787677034735679626,0,0,11295054.476245420053601265,0,7008370.311431614682078362,0
0xbe581d7567f3956ddcf1740067b080d62237302f,17742034.47491203248500824,0,0,17742034.270142514258623123,0,0.204769520089030266,0
0xfbc3f33af3dd99d709631791741eea65eddbfa50,17081136.327468659728765488,0,0,17081136.327468659728765488,0,0,0
0xceebc4cf5421984b78c0df39cdd29493cf99d3e3,16819608.477305661886930466,8008968.859262315556406975,0,8810639.618043346330523491,0,0,0
0x8d73a36d78e2ae4a437053c9ce3be70d483ab74d,16768708.071199037134647369,0,0,16768708.071199037134647369,0,0,0
0x0ea4e868cb049bd560335c3775dd330a18fd1428,16364122.997035142034292221,0,0,0.000000000232830644,13636769.16419595293700695,0,0
0xdad376f73a855ff53ff70b6a6881d6efb02c5e3f,14911975.465426789596676826,0,0,14911975.465426789596676826,0,0,0
0xbb9a2876bfe26ac04d2901b0655a0ac8ac4182a0,13050000,0,0,0,0,13050000,0
0x1b72f3894316e5c52a0d9f989fd76abe365b8854,12050000,2050000,0,5000000,0,5000000,0
0x847c944f5b9b38f0c5331580cea67a7f1ec17388,11808955.224883418530225754,11808955.224883418530225754,0,0,0,0,0
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,11500000,11500000,0,0,0,0,0
0x1571323a6dbf9ff8aed72f44f84de90ef3a36065,11023845.59159562923014164,0,9186537.992996357381343842,0,0,0,0
0xda003fe3c0c8c2b496188f03f080341f147f879a,10917279.774751942604780197,8620399.759569821879267693,0,2296880.015182121191173792,0,0,0
0x077924551b8bcd8c8f87f7af645623a52012e9e1,10899999.996317049488425255,10899999.996317049488425255,0,0,0,0,0
0xc25e850f6cede52809014d4eecca402eb47bdc28,10559677.643345613032579422,10559677.643345613032579422,0,0,0,0,0
0x7bf6b08c66f0b576ed6e338896e8ff06a5674dfe,10499999.999999998137354851,8499999.999999998137354851,0,1999999.999999999767169356,0,0,0
0x04d39a3c66e5c3d1507400e2623b0b4ee5ded5ad,10129607.366620026528835297,3750000,0,6379607.366620025597512722,0,0,0
